-90426358G;OLHal2ZI;Nertie Boncore;8 Lakewood Trail;37,924152;-5,548795
-00115195P;J8pnCRumS;Trenna Arsnell;0022 Reinke Drive;36,835934;-4,124548
23858;87;37,500473:3,659627;37,345012:3,508103;2/10/2039 16:12;5160NFL
23859;45;37,637440:3,578967;37,492691:3,712699;28/2/2049 16:12;1814BCX
23860;17;37,237648:3,626301;37,934263:3,614765;10/9/2027 16:12;5855PIS
-67845710V;5yoEUB1TBjv;Dewie Stelljes;0346 Park Meadow Lane;39,197617;-3,014760
23861;30;37,020234:3,975066;37,819910:3,799188;16/12/2050 16:12;5286ZHC
23862;1;37,178961:3,495590;37,851741:3,315989;4/6/2023 16:12;8812DIX
23863;20;37,068453:3,211493;37,580035:3,558184;31/10/2053 16:12;4143CJR
23864;6;37,971740:3,862178;37,957244:3,773095;11/1/2052 16:12;8552KRW
23865;59;37,122929:3,936796;37,373089:3,584002;12/7/2028 16:12;7472QDC
-33277099J;4RQAaI;Jess Barefoot;41592 Onsgard Court;35,976898;-3,561707
23866;27;37,283914:3,888028;37,641865:3,166143;17/3/2038 16:12;0438NNJ
23867;24;37,962645:3,238624;37,228034:3,300089;2/3/2058 16:12;9048GGW
-72521700O;Y1fQ0g7a1;Udale Filipponi;76004 Vera Road;41,638382;0,626770
23868;4;37,691122:3,682577;37,749870:3,179235;17/4/2026 16:12;4675DAG
23869;6;37,654500:3,208045;37,975463:3,033021;30/4/2054 16:12;8645QOK
-86751222K;9IWST9Ok1;Bancroft Serris;6216 Ridgeway Alley;42,853683;-1,872805
23870;23;37,738517:3,800653;37,820460:3,405866;4/2/2029 16:12;8580IWN
23871;3;37,452376:3,290689;37,809503:3,350658;28/6/2055 16:12;6622BOO
23872;6;37,909330:3,232154;37,889859:3,991241;13/8/2054 16:12;1055GSZ
23873;9;37,404614:3,848018;37,554033:3,714042;24/4/2043 16:12;9832FHI
-55981426V;e9tBhuW2en;Wilbur Thrower;10091 Lien Circle;36,538845;1,131529
23874;23;37,715964:3,570940;37,093753:3,959380;20/5/2019 16:12;1922DAR
23875;11;37,572008:3,075198;37,525285:3,341105;9/12/2042 16:12;8613XNV
23876;21;37,480178:3,587481;37,574877:3,476302;23/9/2055 16:12;7070CJO
23877;24;37,046480:3,615772;37,398572:3,416944;22/6/2027 16:12;4034UIO
-02882722D;kivEbac;Henryetta Giacomi;6865 Thompson Way;38,092457;-1,876083
23878;47;37,092135:3,834590;37,365459:3,944029;16/1/2051 16:12;3044TPB
23879;16;37,419172:3,503403;37,510605:3,020844;17/2/2053 16:12;5663QMP
23880;13;37,312021:3,252113;37,175176:3,893735;4/7/2052 16:12;9275MGP
23881;23;37,141514:3,707419;37,094668:3,273232;24/11/2047 16:12;1973NHR
23882;17;37,965484:3,872921;37,583483:3,449751;19/11/2024 16:12;8826JVR
-00208486Y;dgnwGVQ;Scarface FitzGilbert;82 Helena Court;41,798531;-6,997237
23883;16;37,177923:3,414563;37,636525:3,539109;11/5/2051 16:12;1415SNY
23884;1;37,262551:3,828608;37,766442:3,814051;7/10/2054 16:12;0507MFR
-98011284Z;AZTjbs;Wayne Belchamp;83454 Farmco Trail;41,742859;-4,736342
23885;54;37,740196:3,266366;37,299722:3,190619;28/12/2052 16:12;1645AIF
-57676570R;ag5eWk;Baxter Stapleford;406 Morrow Lane;37,530678;-6,056749
23886;65;37,341594:3,783135;37,015412:3,417493;8/1/2041 16:12;0831ERD
-12878673D;WFNReHczNL1U;Vanya Hebner;4112 Arrowood Crossing;37,751099;-8,768252
23887;19;37,252266:3,520157;37,380902:3,894406;13/7/2054 16:12;1536MKC
-77747524P;rZ9ETOFPD;Mimi Chorley;33 Anthes Hill;37,537289;-3,717063
23888;3;37,513199:3,540208;37,848415:3,106632;30/3/2046 16:12;0456WOV
23889;37;37,929777:3,696677;37,843837:3,087710;4/12/2053 16:12;1339OQM
23890;16;37,270638:3,860744;37,417371:3,024384;1/6/2035 16:12;0506LOE
23891;36;37,977355:3,546220;37,741447:3,513230;1/4/2054 16:12;4260LLR
23892;1;37,970977:3,805048;37,399731:3,277078;11/5/2055 16:12;7247JKC
-96157079Z;vxXlYWw;Stu Cambridge;5150 Melrose Plaza;42,631901;-4,709771
23893;66;37,442427:3,914243;37,618793:3,530045;9/6/2038 16:12;9452YAS
23894;29;37,165166:3,182226;37,656819:3,149754;20/8/2036 16:12;3934CGF
-23152682I;GLUCz6Dj;Andrej Seaking;9 Kropf Drive;40,616863;3,248468
23895;27;37,282144:3,721793;37,615009:3,864895;25/10/2033 16:12;2857OZK
23896;21;37,535997:3,626484;37,970519:3,491531;28/4/2023 16:12;3414ALH
-78621174D;ZevCNa;Jennifer Mityashev;84205 Veith Alley;40,450119;-3,743844
23897;31;37,505570:3,088778;37,735496:3,572314;31/12/2036 16:12;8585CLO
23898;43;37,692679:3,110263;37,747734:3,154637;5/6/2030 16:12;2352IYO
23899;79;37,956236:3,524888;37,251381:3,608020;25/11/2032 16:12;9227UAU
23900;26;37,542100:3,479781;37,728385:3,937407;2/12/2024 16:12;0172MWM
23901;32;37,883724:3,113681;37,423048:3,297830;20/12/2057 16:12;1163HIZ
-35526080B;8IsTwLl;Jere Bohler;33 Bayside Terrace;36,638699;-9,164172
23902;53;37,562487:3,949644;37,681570:3,881802;2/6/2053 16:12;1127RRJ
23903;7;37,699698:3,083560;37,868709:3,653523;24/9/2034 16:12;6827NBM
23904;27;37,276528:3,450331;37,847346:3,133702;1/1/2031 16:12;0243NHR
23905;80;37,451888:3,071322;37,378918:3,885403;7/9/2054 16:12;3033GDS
-60373244W;VjdjgfbAeo;Milton Langton;64631 Barby Park;38,195732;-5,259367
23906;39;37,080508:3,967223;37,743706:3,452071;2/8/2043 16:12;9085UGV
-29250856O;SFe51Ne;Sanford Master;05192 Utah Circle;41,295280;-3,018043
23907;34;37,358470:3,766411;37,272134:3,634541;10/3/2020 16:12;6538VTX
23908;45;37,560808:3,348582;37,952940:3,506149;26/4/2052 16:12;6762ZXG
23909;31;37,993103:3,136357;37,774407:3,301096;19/10/2026 16:12;3503SXC
-55498008O;UyGZwJH;Florida Mularkey;7728 Pleasure Avenue;39,231724;-4,372160
23910;44;37,274758:3,470290;37,393658:3,964049;10/3/2031 16:12;9321VFT
23911;2;37,886563:3,318339;37,098086:3,924162;29/4/2046 16:12;0555WKP
23912;7;37,270882:3,286477;37,577593:3,477554;25/2/2030 16:12;7656QKP
23913;11;37,051271:3,764306;37,871212:3,289529;3/2/2040 16:12;7504SOE
-96376366W;JTrGNApsxnnb;Ulrika Reeves;90 Ilene Circle;39,762215;-0,880292
23914;33;37,322459:3,964965;37,197485:3,630451;4/8/2038 16:12;4401LLG
23915;2;37,204413:3,525010;37,535386:3,362407;24/6/2028 16:12;3048OFT
23916;41;37,357921:3,005097;37,176061:3,310343;29/7/2052 16:12;0712KKX
-93325468S;tQNYn1;Gardner Kike;46 Carberry Circle;40,353668;1,285190
23917;22;37,266945:3,357219;37,148808:3,602374;23/7/2041 16:12;1598ATC
23918;11;37,463332:3,001465;37,400403:3,773461;9/10/2027 16:12;1174LRH
23919;49;37,399945:3,191046;37,519517:3,015259;15/2/2047 16:12;3503SXC
23920;9;37,857997:3,146123;37,109104:3,901395;14/4/2045 16:12;9641HSG
-19381507B;1BP33P;Sherwood Priddle;10 South Junction;42,237583;-5,728339
23921;14;37,414014:3,181280;37,706748:3,844234;28/5/2036 16:12;9770AZJ
23922;28;37,672140:3,823603;37,058718:3,639271;23/11/2037 16:12;6985VUY
23923;3;37,246284:3,069826;37,666829:3,965117;3/6/2020 16:12;1303BKN
23924;4;37,742332:3,512040;37,692618:3,650868;15/9/2033 16:12;9381TEK
-68802024P;HOr1DKGI;Howard Scurrell;07427 Stang Center;37,539810;-0,594108
23925;17;37,391308:3,985229;37,470382:3,898343;21/5/2035 16:12;5610VRZ
23926;4;37,181036:3,848598;37,235511:3,795923;13/8/2055 16:12;7626TUQ
23927;28;37,640522:3,669301;37,537187:3,757469;3/1/2031 16:12;0919LVR
23928;61;37,357616:3,862453;37,387738:3,558977;8/4/2023 16:12;1531JTE
-58922139E;bxpEtgx;Marget Brackpool;29405 Golf View Hill;43,100121;-8,218272
23929;52;37,939756:3,698935;37,468673:3,920072;22/11/2045 16:12;8675SLN
23930;45;37,337931:3,490921;37,090945:3,888272;22/5/2037 16:12;0703UYI
23931;20;37,815394:3,265053;37,682180:3,197821;11/7/2033 16:12;3320ASW
23932;26;37,210852:3,096927;37,708640:3,653859;5/11/2019 16:12;4548HYV
23933;62;37,226203:3,597583;37,583331:3,422590;28/5/2056 16:12;8723XMW
-12232045B;oTOMWgGHUyUv;Idalia Slym;366 Melvin Plaza;40,122566;-3,731946
23934;9;37,458907:3,525468;37,765618:3,793786;12/12/2053 16:12;5416IFG
23935;9;37,940489:3,652364;37,119694:3,556505;15/4/2022 16:12;9314HEG
23936;51;37,638966:3,642384;37,895535:3,667348;15/2/2021 16:12;3892WTG
23937;1;37,871975:3,686728;37,194464:3,451643;17/10/2048 16:12;8660CKW
-51612503K;FsR3cR;Pepito Huxter;807 Boyd Road;40,228916;-4,168322
23938;19;37,928312:3,441816;37,480239:3,657002;5/9/2020 16:12;7137PHR
-34923452L;zsmfeEu;Abbi Kirvin;56521 Oxford Lane;37,366924;3,156362
23939;35;37,434339:3,426496;37,144993:3,216529;15/7/2034 16:12;3307PNS
23940;49;37,638600:3,286752;37,723380:3,709098;6/12/2031 16:12;1415SNY
23941;16;37,187689:3,224982;37,985778:3,564928;29/12/2044 16:12;7976OOY
23942;11;37,461531:3,278146;37,548509:3,586871;29/7/2036 16:12;4445OVB
23943;11;37,681997:3,470351;37,870663:3,249977;27/4/2034 16:12;2333UGF
-24242105C;DNvYhmaVM6s0;Erin Pacitti;5 Warbler Crossing;36,907539;-5,021991
23944;5;37,388379:3,533128;37,210669:3,187597;22/3/2026 16:12;0123YOS
23945;2;37,683187:3,063265;37,794092:3,083743;2/9/2052 16:12;8549TMB
-64903108T;GlHWCF;Maryellen Geekie;66703 Sommers Junction;41,019077;-1,979687
23946;68;37,831233:3,003021;37,926817:3,402295;23/1/2023 16:12;1525BYW
-59050042M;7Zb8p1;Carlynn Choffin;72 Clove Way;36,112637;-8,328209
23947;19;37,951109:3,927610;37,528581:3,591601;29/11/2031 16:12;2035OGW
-71747240P;XiFteEIZxBQ;Archibald Lampl;21 Esch Crossing;42,396008;-0,892260
23948;8;37,145970:3,771355;37,503616:3,347880;8/12/2029 16:12;9381TEK
23949;36;37,071474:3,416272;37,446974:3,413343;5/8/2048 16:12;9469QLW
23950;21;37,490036:3,112918;37,521134:3,571856;11/9/2021 16:12;3657HMG
23951;23;37,344005:3,236976;37,811213:3,890194;26/12/2031 16:12;5450SDS
-72577351N;LorsBjPxh;Rich Plume;7855 Lotheville Plaza;38,096775;-1,243085
23952;30;37,767144:3,217048;37,399518:3,647755;24/11/2043 16:12;2468ZJH
23953;10;37,264748:3,317820;37,596881:3,138798;18/11/2034 16:12;1137JKF
23954;16;37,168493:3,736259;37,521500:3,564440;14/3/2050 16:12;7136XTO
23955;31;37,483932:3,747703;37,838343:3,623066;28/8/2019 16:12;4014HKJ
-87333712H;dTHlYoRGbYO;Wynn Getten;5 Mosinee Junction;39,587612;0,616649
23956;18;37,781426:3,772210;37,712638:3,362560;22/6/2036 16:12;2844WZT
23957;15;37,983215:3,862697;37,382031:3,391705;25/3/2042 16:12;3316DLR
23958;34;37,025361:3,529893;37,768273:3,992462;12/8/2042 16:12;3217QKB
23959;10;37,350017:3,798364;37,852809:3,269997;17/3/2054 16:12;9776VSR
-88803403K;Hx5S8ZM5;Wilt Reily;52982 Manley Center;37,837074;2,536430
23960;54;37,189489:3,554216;37,258919:3,682791;12/5/2042 16:12;8741LFT
-09265431N;rj41vGLFcRC;Bryce Frostdick;802 6th Point;43,238274;-2,748298
23961;85;37,321726:3,439711;37,513230:3,133213;8/12/2050 16:12;0836EAA
23962;19;37,794305:3,810114;37,002777:3,298685;18/11/2056 16:12;4034UIO
-60186918Y;rnswF1r7;Clemmie Ive;741 Oxford Court;39,498264;-4,194135
23963;39;37,785455:3,767693;37,566820:3,781060;7/8/2027 16:12;8461DCM
23964;33;37,906552:3,013672;37,282083:3,845637;18/7/2026 16:12;7450YBG
23965;26;37,867794:3,888821;37,999847:3,630604;26/2/2022 16:12;3839DLR
23966;8;37,406354:3,859004;37,443556:3,970397;2/9/2034 16:12;0873GWX
-28576366G;RiMJlMP;Jayson Djekovic;6699 Crownhardt Circle;41,748104;0,702164
23967;43;37,534654:3,660207;37,457839:3,430677;5/1/2054 16:12;8660CKW
23968;28;37,924924:3,902707;37,819483:3,674947;4/2/2050 16:12;7087PXY
23969;2;37,295877:3,768792;37,978942:3,742180;5/8/2019 16:12;9314HEG
-04328579S;lZQkUpG;Yurik St. Quintin;18 Schiller Point;36,555882;1,705931
23970;40;37,618244:3,481063;37,043336:3,293680;21/12/2030 16:12;6024TDO
23971;22;37,023103:3,147069;37,880886:3,780847;8/5/2027 16:12;4416AAY
23972;4;37,079440:3,870052;37,236213:3,979431;23/3/2026 16:12;6990EZN
23973;6;37,669088:3,649525;37,732353:3,318766;1/2/2047 16:12;7507NLP
-61232000X;tzfThYZb;Britteny Tupie;590 Loftsgordon Park;39,666023;-1,008915
23974;72;37,911527:3,216498;37,954894:3,058626;6/7/2051 16:12;8937WEF
23975;16;37,800928:3,436903;37,222877:3,533494;7/9/2046 16:12;7511WKZ
-05548652L;EBlt4EnwHmc;Sherwin Conti;530 Starling Way;38,340843;2,157856
23976;2;37,904935:3,456130;37,215033:3,252602;12/9/2049 16:12;8812DIX
23977;66;37,388256:3,190985;37,689261:3,728904;31/5/2025 16:12;6489VIX
23978;2;37,773003:3,247078;37,204810:3,242439;4/12/2051 16:12;4716ZYZ
23979;82;37,757439:3,847255;37,876614:3,663656;26/5/2050 16:12;1013UKS
-47053761A;IvVebUzCmqq;Kathe Brunner;47790 Sunnyside Avenue;38,982414;0,506299
23980;35;37,578722:3,270425;37,038148:3,366802;26/2/2045 16:12;4274MBS
-21060822K;qeO6U0JiBb;Packston Island;7 Garrison Street;38,837372;-9,156732
23981;75;37,257332:3,064638;37,766594:3,301889;17/4/2027 16:12;8048KPZ
23982;5;37,807672:3,041566;37,230873:3,962340;24/2/2026 16:12;5381DHG
23983;12;37,746025:3,216071;37,239845:3,667379;10/2/2030 16:12;8431VKN
23984;37;37,061800:3,948851;37,115635:3,291177;18/10/2031 16:12;8304FRP
-02286434X;A8A19ezpCWJ;Evangelina Bertie;675 Mitchell Point;36,013210;-6,187797
23985;92;37,728965:3,635792;37,723746:3,729270;8/11/2023 16:12;7757NFE
-36246528F;2dLVpFn;Etti de Guise;1 Glacier Hill Road;37,353317;-1,813436
23986;26;37,188940:3,295785;37,997528:3,292703;12/6/2041 16:12;9656CFI
23987;55;37,013398:3,286386;37,467330:3,034852;4/8/2040 16:12;6516UYH
23988;41;37,312052:3,499039;37,478103:3,454421;24/9/2045 16:12;3232JJR
-33025003G;UK2bvlT;Issi Berrygun;57 Northview Park;39,109581;-5,045378
23989;10;37,428144:3,818506;37,094699:3,012879;4/6/2036 16:12;1339OQM
-60360159O;3FXw0kX;Andris Domini;2 Luster Way;40,347080;2,226249
23990;11;37,584735:3,348399;37,587939:3,872585;17/4/2045 16:12;1137MGJ
23991;15;37,582812:3,507279;37,606555:3,697836;12/6/2041 16:12;1044LDU
-98365572E;JVIvnq8H8b;Lacie Antrag;1 Melrose Park;38,800449;-8,632016
23992;31;37,067080:3,121738;37,741783:3,900449;19/4/2042 16:12;5198EQP
23993;39;37,644734:3,231758;37,137883:3,090548;4/9/2054 16:12;8763FBN
23994;11;37,224158:3,031953;37,166356:3,386853;7/3/2052 16:12;3279FRI
23995;68;37,372723:3,223823;37,243355:3,910031;29/6/2032 16:12;8723XMW
-53303470V;484MOfnkZFi;Haydon Liversedge;85546 Bartelt Alley;38,477192;-0,001259
23996;9;37,728050:3,360973;37,462569:3,273598;1/11/2032 16:12;1429VDU
23997;14;37,716666:3,223853;37,219947:3,484664;5/12/2052 16:12;6661DOY
-35836035A;TpGeBj;Fredrika Deakes;11 Valley Edge Hill;39,463749;-3,618428
23998;22;37,918546:3,546129;37,217963:3,716269;4/1/2058 16:12;8007BKK
23999;91;37,158086:3,270699;37,429731:3,527329;31/8/2048 16:12;1306WCN
-48401542K;dPA7wlvzwdRi;Joel Spawton;8 Monument Park;37,293621;0,224143
24000;1;37,637288:3,544237;37,247047:3,935759;19/11/2025 16:12;0725HNT
24001;1;37,867367:3,840266;37,781732:3,966918;26/6/2036 16:12;9002XSR
-89135054Y;qyCTps;Hadlee Schade;3468 Dawn Road;42,311344;-4,014861
24002;2;37,849910:3,812037;37,529832:3,490249;4/4/2049 16:12;5487TWV
-53082939Z;Ryzyo4;Gabriella Blockwell;81 Old Shore Street;39,118355;-1,520532
24003;28;37,560533:3,675130;37,113926:3,130924;30/11/2044 16:12;6174CBP
24004;17;37,392560:3,089938;37,568590:3,487747;28/3/2022 16:12;4400NHG
24005;21;37,283944:3,903867;37,672658:3,516495;4/6/2044 16:12;7079SLO
24006;3;37,316660:3,984252;37,455367:3,273568;29/6/2023 16:12;6598MKD
24007;8;37,058046:3,101596;37,495712:3,485549;23/7/2026 16:12;2802YPB
-52186359D;S7anDH0;Berty Phizacklea;95585 Doe Crossing Court;38,511124;-6,024175
24008;1;37,923215:3,710471;37,571947:3,591784;6/3/2041 16:12;1872FAP
24009;20;37,223487:3,306223;37,370739:3,802973;25/4/2029 16:12;2234XHG
-60876601M;8mK2yGmdlR;Larisa Bambridge;76 Sunbrook Park;41,330254;1,285501
24010;21;37,314951:3,750572;37,968078:3,150853;17/2/2050 16:12;5198EQP
24011;22;37,313425:3,807611;37,934385:3,266457;9/11/2055 16:12;6896TQO
24012;25;37,087893:3,876308;37,025697:3,144536;5/2/2040 16:12;5539NKY
-27900785T;OMitFfa;Katleen Jefferys;29 Del Sol Point;38,624130;-5,163111
24013;8;37,541154:3,275338;37,151799:3,242897;15/9/2037 16:12;1217GZV
24014;15;37,364452:3,708609;37,596698:3,777429;12/2/2040 16:12;5391IKE
24015;64;37,124302:3,752678;37,597491:3,111148;12/4/2041 16:12;6886FBS
24016;3;37,198248:3,750237;37,625202:3,423505;28/6/2020 16:12;9321VFT
24017;66;37,832911:3,611621;37,235206:3,791101;28/8/2049 16:12;1306WCN
-62552593M;4LXuaL;Dalston Rickertsen;264 Lakewood Gardens Way;37,096600;2,462926
24018;17;37,101047:3,864193;37,157842:3,016022;24/10/2042 16:12;9265BQB
24019;1;37,963836:3,208563;37,515000:3,226630;15/3/2021 16:12;7252AES
-07712209X;4oAHoHnKO;Pamella Cretney;94 Novick Road;38,361046;-0,262747
24020;69;37,332377:3,773217;37,912534:3,009949;24/9/2019 16:12;3353EKV
24021;12;37,402173:3,553636;37,502976:3,137303;18/9/2041 16:12;2232NWV
24022;29;37,139653:3,236579;37,069796:3,710959;10/6/2053 16:12;7283PAN
24023;13;37,884732:3,206153;37,670949:3,059511;19/11/2022 16:12;3531UGY
-42168834Z;dLs1qgFy2PA;Sylvester Radnedge;4 Thierer Pass;36,650684;0,650507
24024;2;37,575762:3,754967;37,905148:3,507340;1/1/2044 16:12;9235OIA
24025;13;37,944853:3,073946;37,420118:3,494644;16/6/2047 16:12;7976OOY
24026;51;37,183264:3,305246;37,123844:3,021210;4/6/2048 16:12;1246RYQ
24027;6;37,369396:3,666707;37,181005:3,801569;15/8/2037 16:12;6460DJS
-35395020G;qdDHzWsQK;Galina Pedron;61638 Surrey Junction;41,886501;-6,401443
24028;4;37,322611:3,390423;37,540544:3,733787;6/2/2046 16:12;3597ZMX
24029;72;37,199561:3,489731;37,881710:3,799951;24/2/2049 16:12;8797JHT
24030;8;37,095706:3,717978;37,456282:3,004883;25/3/2041 16:12;5391JQE
-55926922W;gG07y9wf;Kelsi Burkhill;2318 Derek Drive;42,213696;-0,926482
24031;14;37,933378:3,917417;37,727653:3,179632;31/5/2058 16:12;8821DTE
24032;82;37,890255:3,194433;37,857021:3,699698;7/4/2026 16:12;0002JEU
24033;76;37,882778:3,540544;37,869350:3,263192;2/8/2042 16:12;6389QTG
-36218350X;J0E2P5OU5;Bald MacNeilly;68 South Plaza;36,889011;-8,204383
24034;44;37,562090:3,291421;37,118442:3,073702;16/2/2046 16:12;4178UVQ
24035;46;37,437941:3,448469;37,276620:3,905118;17/6/2039 16:12;4598YHI
24036;13;37,657430:3,084140;37,284402:3,737510;1/11/2051 16:12;5467YQT
24037;4;37,897122:3,963805;37,456862:3,010926;28/6/2052 16:12;0256YLR
-81914420Z;Ms79UshN;Malynda Gazey;4954 Holy Cross Pass;41,542202;0,491784
24038;61;37,532792:3,869137;37,734581:3,729789;15/8/2051 16:12;7566UTG
24039;79;37,249001:3,156865;37,250496:3,941893;6/8/2051 16:12;8220KYR
-61482335C;KZvhfg;Cynthia Schonfeld;3537 La Follette Place;40,638680;1,915712
24040;32;37,792535:3,349956;37,293130:3,287423;14/6/2043 16:12;3676PMY
24041;81;37,693319:3,913419;37,938871:3,206854;10/1/2050 16:12;3376NJO
24042;17;37,424696:3,925352;37,807794:3,452834;20/5/2037 16:12;1922DAR
24043;40;37,384411:3,019990;37,438551:3,485946;26/8/2023 16:12;4870SHO
24044;43;37,283609:3,283181;37,757897:3,532487;17/12/2020 16:12;5539NKY
-24325042A;eujyIKHx;Cherilynn Leighton;42161 Red Cloud Way;41,880714;2,707412
24045;9;37,839778:3,784692;37,781549:3,720817;6/10/2047 16:12;8295KOI
24046;27;37,634175:3,171606;37,345073:3,794488;29/8/2039 16:12;4907FBM
24047;35;37,115238:3,342051;37,718619:3,543809;2/10/2036 16:12;6718TOC
-48786001H;9aLVd38xtyBp;Oliver Klass;71 Anniversary Junction;38,325272;2,490996
24048;12;37,764916:3,372967;37,446455:3,299997;16/6/2058 16:12;0418VHX
-04304420J;zlNhwJZbEG;Ari Moulson;845 Union Drive;41,287937;-3,734014
24049;18;37,548448:3,845393;37,174627:3,754997;23/2/2045 16:12;5505KYU
24050;58;37,715903:3,910184;37,362255:3,214484;3/4/2053 16:12;0123YOS
24051;3;37,920438:3,738914;37,651143:3,960692;16/3/2031 16:12;4428PXW
24052;51;37,718101:3,407849;37,556932:3,588763;14/11/2041 16:12;1119AQE
24053;4;37,620441:3,708762;37,789117:3,917600;25/9/2021 16:12;2330FUU
-46548184L;L7AQVIj;Amber Deane;0 Everett Pass;42,461678;-5,998321
24054;89;37,577410:3,220466;37,303873:3,072024;8/3/2049 16:12;3207XJV
24055;46;37,010254:3,819544;37,437117:3,783563;24/11/2038 16:12;6310EHU
24056;64;37,595141:3,930479;37,781182:3,676504;9/11/2049 16:12;8765BKZ
24057;35;37,961058:3,783624;37,369793:3,818079;28/9/2026 16:12;7191ZKB
24058;22;37,364635:3,597613;37,016724:3,560167;10/9/2051 16:12;0712KKX
-56387952I;D5MDgJWY;Alix Fawlkes;07 Anderson Avenue;38,551735;2,486920
24059;71;37,058565:3,938322;37,241737:3,622944;26/10/2047 16:12;5762JIO
24060;66;37,029115:3,353404;37,701407:3,757256;17/6/2041 16:12;3353EKV
24061;5;37,698691:3,943937;37,711753:3,984100;25/5/2020 16:12;5317SEB
-68525407K;PAAjhp7unIX;Gawain Hanscomb;3316 Gerald Way;41,668266;2,296885
24062;32;37,815241:3,734825;37,328776:3,829463;26/12/2028 16:12;7079SLO
24063;7;37,973357:3,753197;37,239448:3,799158;10/7/2032 16:12;1246RYQ
24064;30;37,442213:3,654561;37,721671:3,461928;27/7/2036 16:12;8691TAL
24065;13;37,524796:3,075442;37,680715:3,958251;6/9/2024 16:12;8045DIC
24066;55;37,991058:3,967162;37,206610:3,204901;8/12/2023 16:12;2223KUX
-29169978F;qsgE6BRQdZm;Cole Pollastrino;59 North Plaza;37,594833;-1,561130
24067;44;37,838527:3,536332;37,862392:3,119816;27/6/2021 16:12;2857OZK
24068;83;37,263680:3,866543;37,916227:3,169286;19/9/2023 16:12;6830JLE
-82910795I;QtMXJbQ;Aleen Hyam;7 Kedzie Circle;40,858414;-0,362865
24069;75;37,800165:3,179144;37,899930:3,565996;19/2/2055 16:12;7020PAN
24070;21;37,213507:3,388256;37,939116:3,433821;11/10/2032 16:12;1519YXB
24071;28;37,119724:3,945372;37,951018:3,966674;13/2/2038 16:12;4961PVS
24072;84;37,427870:3,272134;37,096469:3,772790;5/12/2052 16:12;6886FBS
24073;38;37,014222:3,027589;37,755242:3,135868;7/9/2030 16:12;5386CMX
-02343322M;DdeSjPcqKH;Ebeneser Schorah;00672 Bayside Circle;41,040939;-5,168736
24074;17;37,718772:3,139317;37,530747:3,621052;25/11/2019 16:12;5824STJ
24075;50;37,758354:3,940794;37,288705:3,872646;30/12/2043 16:12;4994JEC
24076;20;37,097476:3,973083;37,587634:3,847224;27/4/2024 16:12;9913ZIN
24077;22;37,246040:3,361705;37,653432:3,958251;9/12/2024 16:12;5095CDH
-88411363I;4293sYYK;Maren Ramalho;03591 Butterfield Street;43,261093;-3,824560
24078;14;37,746208:3,675649;37,401654:3,219275;20/4/2033 16:12;9314HEG
24079;17;37,224403:3,369884;37,002228:3,792444;20/7/2032 16:12;7574LBU
24080;86;37,770409:3,127659;37,069704:3,680746;29/1/2031 16:12;5681PXQ
24081;33;37,889065:3,807733;37,024323:3,115329;28/11/2047 16:12;2765TYH
-93346493U;ydVarBp9JxEm;Araldo Lovemore;1 New Castle Road;36,977604;-5,075403
24082;7;37,232582:3,906278;37,817408:3,367199;19/5/2039 16:12;1044LDU
24083;10;37,132298:3,669027;37,109989:3,698416;7/7/2039 16:12;4540EUQ
24084;26;37,372112:3,260567;37,478713:3,519303;6/12/2054 16:12;7857OYB
24085;58;37,525925:3,415937;37,730399:3,743522;11/6/2047 16:12;6189FPN
24086;1;37,407941:3,326426;37,748497:3,137211;23/7/2055 16:12;3734MHT
-14851654Q;QYdO7WX;Janene Pigeon;26880 Dapin Court;41,332775;-5,104713
24087;8;37,555528:3,479568;37,759453:3,585681;1/10/2053 16:12;9462EAC
24088;6;37,304209:3,581164;37,854335:3,911710;11/3/2019 16:12;6596PCM
24089;31;37,018952:3,367595;37,434126:3,194464;16/9/2038 16:12;2844WZT
-56307127Q;X2gXmsB;Cordie Van Arsdalen;72358 Milwaukee Point;39,016556;0,869480
24090;36;37,837367:3,221656;37,365673:3,114078;8/7/2037 16:12;6701HVH
24091;21;37,540269:3,584063;37,097446:3,894650;5/8/2040 16:12;1525BYW
24092;13;37,625416:3,324686;37,635273:3,036927;4/5/2031 16:12;8585CLO
24093;17;37,133915:3,306223;37,847285:3,173315;22/11/2032 16:12;6970QHQ
24094;85;37,812738:3,474837;37,250923:3,580676;19/6/2035 16:12;3221ALY
-73665747N;Nh6scFB;Efren MacCaffrey;296 Doe Crossing Lane;41,381351;0,805504
24095;14;37,532151:3,394360;37,732933:3,016816;28/11/2052 16:12;6842XAA
24096;34;37,002014:3,883663;37,264962:3,281014;19/2/2046 16:12;3839DLR
24097;19;37,004517:3,558153;37,247627:3,980560;24/1/2031 16:12;5390EAX
-16267210V;z4NOK5T3rVf;Katerina Rosenbaum;85508 Browning Drive;41,342617;0,307514
24098;4;37,101535:3,662435;37,332591:3,049165;3/3/2046 16:12;2614GPP
24099;5;37,541032:3,764214;37,004639:3,215522;9/11/2038 16:12;9381TEK
-93100786L;55Isrzz;Bastian Allmond;5 Bayside Way;41,898743;-6,079160
24100;3;37,038484:3,689505;37,808191:3,396130;11/3/2042 16:12;1278LMH
24101;89;37,901303:3,676443;37,492935:3,207190;27/8/2031 16:12;8610GEM
24102;43;37,961943:3,957457;37,419446:3,595416;11/10/2031 16:12;5245CZW
